,property_type_Apartment,property_type_Hotel,property_type_House,property_type_Other,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,host_response_rate,latitude,longitude,accommodates,bedrooms,beds,price,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_since_years,TV with standard cable,Oven,Security cameras on property,Hair dryer,Hangers,Elevator,Hot water kettle,TV,Breakfast,Cleaning available during stay,Luggage dropoff allowed,Dryer,Shower gel,First aid kit,Bed linens,Pool,Essentials,Building staff,Carbon monoxide alarm,Crib,Lock on bedroom door,Washer,Heating,Pets allowed,Patio or balcony,Bathtub,Free street parking,Dishes and silverware,Paid parking on premises,Kitchen,Refrigerator,Fire extinguisher,Dining table,Free parking on premises,BBQ grill,Clothing storage,Paid parking off premises,Coffee,Smoke alarm,Iron,Dedicated workspace,Extra pillows and blankets,Keypad,Cooking basics,Microwave,Private entrance,Self check-in,Shampoo,Hot water,Stove,Host greets you,Single level home,Gym,distance_from_MRT,distance_from_Bus,distance_from_Mall,distance_from_School,distance_from_Food,distanceCluster
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,1.34754,103.95958,1,1,1,81.0,242,24,4.16,4.22,4.09,4.43,4.43,4.17,4.04,12,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,True,True,True,False,False,True,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,False,False,False,False,0.842953350157513,0.1801024652623822,7.976199422002654,3.5157673031745413,0.7850936666574906,0
1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,1.34531,103.961,2,1,2,81.0,305,47,4.41,4.39,4.52,4.63,4.64,4.5,4.36,12,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,False,False,False,0.8802823438287071,0.2053458005436902,7.952044652999287,3.786035655787682,0.5025876950118576,0
2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.29015,103.80814,1,1,1,52.0,273,22,4.4,4.16,4.26,4.47,4.42,4.53,4.63,12,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False,False,0.5495571377065215,0.1179753198858539,4.230674533804761,1.0958068914850407,0.1693755458074601,2
3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.28836,103.81144000000002,1,1,1,49.0,281,14,4.5,4.69,4.23,4.62,4.54,4.62,4.46,12,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,0.609338891665499,0.0409057556396137,3.862544450704388,0.68509020775608,0.2085231887763115,2
4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,1.3449,103.95979,4,3,5,175.0,242,12,4.83,4.67,4.75,4.58,4.67,4.33,4.45,12,False,False,True,True,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,True,True,True,True,False,False,False,False,0.7385176058376478,0.2108033321847344,7.816646405616218,3.8096337434071694,0.5068109844690726,0
5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.86,1.31142,103.83924,2,1,1,79.0,365,133,4.43,4.33,4.16,4.5,4.66,4.52,4.39,12,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,True,False,False,False,3.478740680966512,0.0800139864379896,1.8648899299753792,0.9166368822001062,0.3507478431917882,2
6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.28828,103.8102,1,1,1,49.0,274,17,3.62,3.63,4.0,4.5,4.06,4.0,3.88,12,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,0.7457924862392263,0.1045050788951876,4.000536768147027,0.7886007522355438,0.1482694756019476,2
7,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.28652,103.81225,1,1,1,55.0,303,12,4.73,4.55,4.55,4.91,4.82,4.45,4.45,12,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,0.6109140250619195,0.0295457463218962,3.781908057326045,0.491152798032606,0.1248478111150583,2
8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.28636,103.81138,1,1,1,55.0,246,4,4.33,4.33,4.0,4.67,4.67,4.0,4.33,12,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,0.7017175562253263,0.0390397427058642,3.879677668428348,0.5691425296535053,0.1437932895327011,2
9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,1.34917,103.9609,1,1,1,40.0,331,59,4.59,4.59,4.45,4.76,4.57,4.66,4.43,12,True,True,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,False,False,1.0690782555822809,0.3272166623191782,8.203802775719417,3.362289780669235,0.6055481030572689,0
