,host_response_rate,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_since_years,TV with standard cable,Oven,Security cameras on property,Hair dryer,Hangers,Elevator,Hot water kettle,TV,Breakfast,Cleaning available during stay,Luggage dropoff allowed,Dryer,Shower gel,First aid kit,Bed linens,Pool,Essentials,Building staff,Carbon monoxide alarm,Crib,Lock on bedroom door,Washer,Heating,Pets allowed,Patio or balcony,Bathtub,Free street parking,Dishes and silverware,Paid parking on premises,Kitchen,Refrigerator,Fire extinguisher,Dining table,Free parking on premises,BBQ grill,Clothing storage,Paid parking off premises,Coffee,Smoke alarm,Iron,Dedicated workspace,Extra pillows and blankets,Keypad,Cooking basics,Microwave,Private entrance,Self check-in,Shampoo,Hot water,Stove,Host greets you,Single level home,Gym
1,0.9,Tampines,East Region,1.34754,103.95958,House,Private room,1,1.0,1.0,81.0,242,24,4.16,4.22,4.09,4.43,4.43,4.17,4.04,12,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,True,True,True,False,False,True,True,False,False,True,True,False,True,False,True,True,False,True,True,True,True,False,False,False,False
2,0.9,Tampines,East Region,1.34531,103.961,House,Private room,2,1.0,2.0,81.0,305,47,4.41,4.39,4.52,4.63,4.64,4.5,4.36,12,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,True,True,False,False,True,True,True,False,False,False,False
3,1.0,Bukit Merah,Central Region,1.29015,103.80814,Apartment,Private room,1,1.0,1.0,52.0,273,22,4.4,4.16,4.26,4.47,4.42,4.53,4.63,12,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False,False
4,1.0,Bukit Merah,Central Region,1.28836,103.81144,Apartment,Private room,1,1.0,1.0,49.0,281,14,4.5,4.69,4.23,4.62,4.54,4.62,4.46,12,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False
5,0.9,Tampines,East Region,1.3449,103.95979,House,Private room,4,3.0,5.0,175.0,242,12,4.83,4.67,4.75,4.58,4.67,4.33,4.45,12,False,False,True,True,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,True,True,True,True,False,False,False,False
6,0.86,Newton,Central Region,1.31142,103.83924,Apartment,Private room,2,1.0,1.0,79.0,365,133,4.43,4.33,4.16,4.5,4.66,4.52,4.39,12,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,True,False,False,False
7,1.0,Bukit Merah,Central Region,1.28828,103.8102,Apartment,Private room,1,1.0,1.0,49.0,274,17,3.62,3.63,4.0,4.5,4.06,4.0,3.88,12,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False
8,1.0,Bukit Merah,Central Region,1.28652,103.81225,Apartment,Private room,1,1.0,1.0,55.0,303,12,4.73,4.55,4.55,4.91,4.82,4.45,4.45,12,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False
9,1.0,Bukit Merah,Central Region,1.28636,103.81138,Apartment,Private room,1,1.0,1.0,55.0,246,4,4.33,4.33,4.0,4.67,4.67,4.0,4.33,12,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False
10,0.9,Tampines,East Region,1.34917,103.9609,House,Private room,1,1.0,1.0,40.0,331,59,4.59,4.59,4.45,4.76,4.57,4.66,4.43,12,True,True,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,False,False
11,0.86,Newton,Central Region,1.31144,103.83784,Other,Private room,2,1.0,1.0,79.0,365,81,4.43,4.45,4.41,4.71,4.76,4.64,4.55,12,False,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False,True,True,True,False,False,False
12,0.86,Newton,Central Region,1.31129,103.83788,House,Private room,2,1.0,1.0,66.0,365,165,4.39,4.31,4.12,4.65,4.67,4.6,4.32,12,True,True,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True,True,False,False,False
13,0.0,River Valley,Central Region,1.29335,103.83768,Apartment,Private room,1,1.0,1.0,100.0,83,27,4.31,4.27,4.08,4.73,4.69,4.58,4.19,11,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
