,host_response_rate,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,amenities,price,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_since_years
1,0.9,Tampines,East Region,1.34754,103.95958,House,Private room,1,1.0,1.0,"[""Cooking basics"", ""Refrigerator"", ""Kitchen"", ""Hair dryer"", ""Private entrance"", ""Dedicated workspace"", ""TV"", ""Wifi"", ""Outdoor dining area"", ""Long term stays allowed"", ""Dryer"", ""Outdoor furniture"", ""Paid parking on premises"", ""Keypad"", ""Lock on bedroom door"", ""Fire pit"", ""Free street parking"", ""Essentials"", ""Free parking on premises"", ""Shared hot tub"", ""Private backyard \u2013 Fully fenced"", ""Self check-in"", ""Outdoor kitchen"", ""Shampoo"", ""Smoke alarm"", ""Pets allowed"", ""Hot water"", ""Coffee maker"", ""BBQ grill"", ""AC - split type ductless system"", ""Washer""]",81.0,242,24,4.16,4.22,4.09,4.43,4.43,4.17,4.04,12
2,0.9,Tampines,East Region,1.34531,103.961,House,Private room,2,1.0,2.0,"[""Cooking basics"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""TV"", ""Wifi"", ""Outdoor dining area"", ""Long term stays allowed"", ""Dryer"", ""Outdoor furniture"", ""Keypad"", ""Lock on bedroom door"", ""Fire pit"", ""Free street parking"", ""Essentials"", ""Free parking on premises"", ""Shared hot tub"", ""Self check-in"", ""Outdoor kitchen"", ""Shampoo"", ""Smoke alarm"", ""Hot water"", ""Coffee maker"", ""BBQ grill"", ""AC - split type ductless system"", ""Washer""]",81.0,305,47,4.41,4.39,4.52,4.63,4.64,4.5,4.36,12
3,1.0,Bukit Merah,Central Region,1.29015,103.80814,Apartment,Private room,1,1.0,1.0,"[""Air conditioning"", ""Shampoo"", ""Smoke alarm"", ""Long term stays allowed"", ""Elevator"", ""Essentials"", ""Hair dryer"", ""Kitchen"", ""Dryer"", ""Hot water"", ""Carbon monoxide alarm"", ""TV"", ""Keypad"", ""Wifi"", ""Lock on bedroom door"", ""Self check-in"", ""Washer""]",52.0,273,22,4.4,4.16,4.26,4.47,4.42,4.53,4.63,12
4,1.0,Bukit Merah,Central Region,1.28836,103.81144,Apartment,Private room,1,1.0,1.0,"[""Air conditioning"", ""Shampoo"", ""Smoke alarm"", ""Long term stays allowed"", ""Microwave"", ""Essentials"", ""Hair dryer"", ""Kitchen"", ""Dryer"", ""Hot water"", ""Carbon monoxide alarm"", ""TV"", ""Elevator"", ""Wifi"", ""Dishes and silverware"", ""Smart lock"", ""Self check-in"", ""Washer""]",49.0,281,14,4.5,4.69,4.23,4.62,4.54,4.62,4.46,12
5,0.9,Tampines,East Region,1.3449,103.95979,House,Private room,4,3.0,5.0,"[""Cooking basics"", ""Kitchen"", ""Private entrance"", ""Hair dryer"", ""TV"", ""Bathtub"", ""Wifi"", ""Outdoor dining area"", ""Long term stays allowed"", ""Iron"", ""Dryer"", ""Outdoor furniture"", ""Children\u2019s books and toys"", ""Paid parking on premises"", ""Keypad"", ""Lock on bedroom door"", ""Security cameras on property"", ""Conditioner"", ""Free street parking"", ""Essentials"", ""Free parking on premises"", ""Hangers"", ""Self check-in"", ""Outdoor kitchen"", ""Shampoo"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Body soap"", ""Hot water"", ""BBQ grill"", ""AC - split type ductless system"", ""Washer""]",175.0,242,12,4.83,4.67,4.75,4.58,4.67,4.33,4.45,12
6,0.86,Newton,Central Region,1.31142,103.83924,Apartment,Private room,2,1.0,1.0,"[""Cooking basics"", ""Refrigerator"", ""Kitchen"", ""Hair dryer"", ""Wifi"", ""Long term stays allowed"", ""Private patio or balcony"", ""Oven"", ""Iron"", ""Microwave"", ""Stove"", ""Lock on bedroom door"", ""Air conditioning"", ""Free street parking"", ""Essentials"", ""Hangers"", ""Dishes and silverware"", ""Park view"", ""Extra pillows and blankets"", ""Shampoo"", ""Smoke alarm"", ""Bed linens"", ""Hot water"", ""Washer""]",79.0,365,133,4.43,4.33,4.16,4.5,4.66,4.52,4.39,12
7,1.0,Bukit Merah,Central Region,1.28828,103.8102,Apartment,Private room,1,1.0,1.0,"[""Air conditioning"", ""Fire extinguisher"", ""Shampoo"", ""Smoke alarm"", ""Long term stays allowed"", ""Kitchen"", ""Hair dryer"", ""Dryer"", ""Hot water"", ""Carbon monoxide alarm"", ""TV"", ""Wifi"", ""Smart lock"", ""Self check-in"", ""Washer""]",49.0,274,17,3.62,3.63,4.0,4.5,4.06,4.0,3.88,12
8,1.0,Bukit Merah,Central Region,1.28652,103.81225,Apartment,Private room,1,1.0,1.0,"[""Air conditioning"", ""Shampoo"", ""Smoke alarm"", ""Long term stays allowed"", ""Elevator"", ""Essentials"", ""Hair dryer"", ""Kitchen"", ""Dryer"", ""Hot water"", ""Carbon monoxide alarm"", ""TV"", ""Wifi"", ""Smart lock"", ""Lock on bedroom door"", ""Self check-in"", ""Washer""]",55.0,303,12,4.73,4.55,4.55,4.91,4.82,4.45,4.45,12
9,1.0,Bukit Merah,Central Region,1.28636,103.81138,Apartment,Private room,1,1.0,1.0,"[""Air conditioning"", ""Shampoo"", ""Iron"", ""Smoke alarm"", ""Long term stays allowed"", ""Elevator"", ""Essentials"", ""Hair dryer"", ""Kitchen"", ""Dryer"", ""Hangers"", ""Carbon monoxide alarm"", ""Wifi"", ""Smart lock"", ""Self check-in"", ""Washer""]",55.0,246,4,4.33,4.33,4.0,4.67,4.67,4.0,4.33,12
10,0.9,Tampines,East Region,1.34917,103.9609,House,Private room,1,1.0,1.0,"[""Cooking basics"", ""Refrigerator"", ""Kitchen"", ""Hair dryer"", ""Dedicated workspace"", ""Wifi"", ""Outdoor dining area"", ""Long term stays allowed"", ""Oven"", ""Iron"", ""Microwave"", ""Dryer"", ""Outdoor furniture"", ""Children\u2019s books and toys"", ""Keypad"", ""Free washer \u2013 In unit"", ""Stove"", ""Lock on bedroom door"", ""Fire pit"", ""TV with standard cable"", ""Free street parking"", ""Essentials"", ""Free parking on premises"", ""Hangers"", ""Dishes and silverware"", ""Paid parking off premises"", ""Private backyard \u2013 Fully fenced"", ""Self check-in"", ""Garden view"", ""Extra pillows and blankets"", ""Outdoor kitchen"", ""Shampoo"", ""Bed linens"", ""Hot water"", ""Coffee maker"", ""BBQ grill"", ""AC - split type ductless system""]",40.0,331,59,4.59,4.59,4.45,4.76,4.57,4.66,4.43,12
